,title,company,place,salary,publish_time
197,会员管理主管,重庆鹰王贸易有限公司,重庆,4.5-6千/月,03-31
198,BI需求顾问,捷荟信息技术（上海）有限公司,上海-闵行区,1-1.5万/月,03-31
199,软件开发工程师（产品研发）,航天四创科技有限责任公司,北京-丰台区,7.5-9千/月,03-31
200,大数据开发工程师,智器云南京信息科技有限公司,南京,1-1.5万/月,03-31
201,Java开发工程师,广州观澜服装科技有限公司,广州,0.8-1万/月,03-31
202,RTD工程师,广州粤芯半导体技术有限公司,广州-黄埔区,1-1.5万/月,03-31
203,CPC广告投放,深圳市福斯康姆智能科技有限公司,深圳-南山区,0.9-1.5万/月,03-31
204,游戏运营助理,广州昊天游科技有限公司,广州-天河区,3-3.5千/月,03-31
205,数据分析实习,锥能机器人（上海）有限公司,上海-普陀区,3.5-5千/月,03-31
206,数据分析师,北京斯普信信息技术有限公司,北京,6-8千/月,03-31
207,数据分析师,三生（中国）健康产业有限公司,宁波,0.6-1.5万/月,03-31
208,数据分析师,广州市佩升前研市场信息咨询股份有...,广州,6-8千/月,03-31
209,数据分析专员,无锡红豆居家服饰有限公司,无锡,6-8千/月,03-31
210,信用卡电话销售,广东鸿联九五信息产业有限公司,合肥,3.5-5.5千/月,03-31
211,数据运营专员,武汉新立绿动科技股份有限公司,武汉-武昌区,0.8-1万/月,03-31
212,大数据系统设计师,中国电子科技集团公司第十研究所,成都-金牛区,0.8-1.5万/月,03-31
213,产品经理,深圳市双佳医疗科技有限公司,深圳-宝安区,1.5-2.5万/月,03-31
214,数据分析(J10495),山东世纪开元电子商务集团有限公司...,济南,0.8-1万/月,03-31
215,生物信息研究员,广州市康健基因科技有限公司,广州,0.8-1.6万/月,03-31
216,大数据开发工程师,上海箭塔互娱网络科技有限公司,广州,1-2.5万/月,03-31
217,自然语言处理工程师(NLP),广州市西美信息科技有限公司,广州,1.5-2.4万/月,03-31
218,DMP数据架构师,广州市丰申网络科技有限公司,广州-天河区,1-1.5万/月,03-31
219,宁波分行-信息科技部-数据服务岗,中国光大银行宁波分行,宁波-鄞州区,,03-31
220,数据运营高级专员 (MJ000190),汉堡王（中国）投资有限公司,上海-徐汇区,0.8-1万/月,03-31
221,图像处理工程师,湖南华诺星空电子技术有限公司,长沙,0.9-2万/月,03-31
222,人工智能开发工程师,建研科技股份有限公司,武汉-洪山区,0.9-1.8万/月,03-31
223,数据分析师（语义分析）,东莞市乐其网络科技有限公司广州分...,广州-天河区,1-1.5万/月,03-31
224,大数据应用工程师,广州佳都数据服务有限公司,广州-海珠区,2-2.5万/月,03-31
225,数据产品经理,万兴科技集团股份有限公司,深圳,1.5-3.5万/月,03-31
226,证券行业产品经理,杭州同花顺数据开发有限公司,杭州-余杭区,1.2-2.4万/月,03-31
227,Java开发工程师,西安海邻科信息技术有限公司,西安-高新技术...,0.8-1万/月,03-31
228,电商-用户增长,爱奇艺（www.iqiyi.com）,上海-长宁区,1.5-3万/月,03-31
229,临床医学统计师,上海嘉坦医药科技有限公司,上海-浦东新区,1.5-2.5万/月,03-31
230,软件工程师（大数据可视化，技术中心）,深圳科安达电子科技股份有限公司,深圳-福田区,0.8-2万/月,03-31
231,物流分析师（Logistics Analyst ）,HCL Technologies (Shanghai) Lim...,昆山,0.8-1.5万/月,03-31
232,大数据开发工程师,竹间智能科技（上海）有限公司,北京-海淀区,2-4万/月,03-31
233,数据分析专员(J10162),陕西佳帮手集团控股有限公司,西安-灞桥区,0.6-1万/月,03-31
234,大数据开发,凯捷咨询（中国）有限公司,北京-朝阳区,2-3万/月,03-31
235,大数据开发工程师,重庆雅明教育科技股份有限公司,重庆-九龙坡区,0.8-1万/月,03-31
236,客户关系沟通专员,南京宁南保时捷中心,南京-雨花台区,4.5-6千/月,03-31
237,965工作制大数据开发+五险+住宿+可实习,青岛小笨象电影科技有限公司,异地招聘,0.8-1万/月,03-31
238,大数据开发工程师,安徽博约信息科技股份有限公司,合肥-高新区,0.8-1万/月,03-31
239,首席算法专家,北京中兵智航软件技术有限公司,北京-海淀区,1.5-2.5万/月,03-31
240,数据分析师,广州麦匠信息科技有限公司,广州-天河区,0.9-1.5万/月,03-31
241,数据开发工程师,凯儿得乐（深圳）科技发展有限公司...,深圳-龙岗区,1.2-2万/月,03-31
242,新媒体运营,新航道广州学校,广州-天河区,5-7千/月,03-31
243,数据分析经理（医美）,上海瑞金生物科技有限公司,上海-徐汇区,0.6-1万/月,03-31
244,Java高级开发工程师,万宝盛华企业管理咨询（上海）有限...,武汉-武昌区,1.5-2万/月,03-31
245,医疗网络运营经理,广州雅敦医疗科技有限公司,广州,2-3万/月,03-31
246,程序化交易客户经理,重庆华西黄金产业发展有限公司,异地招聘,10-15万/年,03-31
247,大数据分析师（信贷方向）,上海易一代网络信息技术有限公司,上海-杨浦区,0.8-1.6万/月,03-31
248,数据分析,店博会（北京）科技有限公司,上海-长宁区,0.4-2万/月,03-31
249,项目经理PM,江苏大穰科技有限公司,青岛,10-15万/年,03-31
250,遥感技术高级经理,浙江大学德清先进技术与产业研究院...,异地招聘,2-2.5万/月,03-31
251,机器学习实训师,苏州高博应诺信息科技有限公司,苏州,0.8-1.5万/月,03-31
252,数据库工程师/管理员,宇扬半导体集团有限公司,上海-虹口区,4.5-6千/月,03-31
253,算法工程师（NLP+知识图谱）,浙江崇汉信息科技有限公司,杭州-滨江区,2.2-3.5万/月,03-31
254,数据运营顾问（外包）(J200324008),滴滴,北京-海淀区,1.5-2万/月,03-31
255,主任研究员/高级研究员(数据分析方向),日立（中国）研究开发有限公司,北京,,03-31
256,Product Manager(005ZJQ),施耐德电气（中国）有限公司,北京,,03-31
257,大数据开发经理（济南）,浪潮通软公司,济南-高新区,1-1.5万/月,03-31
258,网络推广专员,上海希格玛高技术有限公司,上海-青浦区,6-8.5千/月,03-31
259,资深数据分析师,美的集团电子商务有限公司,佛山,35-70万/年,03-31
260,PHP游戏后台开发（九天互娱）,广州艾儿智能科技有限公司,广州-天河区,0.9-1.2万/月,03-31
261,ETL开发工程师（数据建模）,上海益倍嘉金融信息服务有限公司,上海-浦东新区,1-1.3万/月,03-31
262,市场总监,億·禾林国际儿童成长中心,上海-徐汇区,1-1.5万/月,03-31
263,算法工程师,江西康力药品物流有限公司,宜春,0.6-1万/月,03-31
264,图像算法工程师,南京红松信息技术有限公司,南京-雨花台区,2-4万/月,03-31
