,title,company,place,salary,publish_time
7795,催收专员 月薪8-10K起+做五休二+下午茶,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7796,催收专员 月薪8000起+做五休二,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7797,催收专员 做五休二+月薪8000起+餐补,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7798,催收专员,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7799,催收专员 底薪5K起+绩效奖金+做五休二,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7800,催收专员 做五休二+月薪8-12K起+福利奖金,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7801,信用卡催收专员 做五休二+餐费补助+月薪8K起,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7802,催收专员 月薪8000起+做五休二+下午茶,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7803,电话催收专员 做五休二+月薪8-12K起+餐补,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7804,月薪过万不是梦+催收专员,广州暴龙电子科技有限公司,广州-番禺区,4-8千/月,09-28
7805,催收专员+提供住宿+月薪8K,广州暴龙电子科技有限公司,广州-番禺区,4-8千/月,09-28
7806,催收专员+月薪8K+提供住宿,广州暴龙电子科技有限公司,广州-番禺区,4-8千/月,09-28
7807,催收专员+月薪8K+提供住宿,广州暴龙电子科技有限公司,广州-番禺区,4-8千/月,09-28
7808,催收专员+早九晚六+月薪8000,广州暴龙电子科技有限公司,广州-番禺区,4-8千/月,09-28
7809,催收专员+月薪8K+提供住宿,广州暴龙电子科技有限公司,广州-番禺区,4-8千/月,09-28
7810,H6K底薪+催收专员/电话客服+周末双休,深圳市龙岗区植丽泉商行,深圳-福田区,0.8-1万/月,09-28
7811,H4000底薪+催收专员/电话客服+福利齐全,深圳市龙岗区植丽泉商行,深圳-龙华新区,6-8千/月,09-28
7812,W交通银行催收专员（3800底薪+社保）,深圳通联金融网络科技服务有限公司...,合肥-滨湖新区,0.8-1万/月,09-28
7813,交通银行催收专员（3800-4200底薪）,深圳通联金融网络科技服务有限公司...,合肥-滨湖新区,6-8千/月,09-28
7814,催收专员（月均6500 五险一金）,无锡拍拍贷金融信息服务有限公司,无锡,6-8千/月,09-28
7815,诚聘交通银行催收专员8K（3600底薪+社保+住宿）,深圳通联金融网络科技服务有限公司...,合肥-滨湖新区,4.5-6千/月,09-28
7816,支付宝电话催收专员+五险+包住,江苏润融企业管理咨询服务有限公司...,黄冈,4-8千/月,09-28
7817,催收专员（五险一金+高提成）,广州欢创劳务派遣有限公司,广州-天河区,0.5-1万/月,09-27
7818,蘑菇街催收专员L免费早餐,杭州华厦低温设备有限公司,杭州-西湖区,6-8千/月,09-27
7819,电话催收专员,成都东融商务信息咨询有限公司,成都-锦江区,4-8千/月,09-27
