,title,company,place,salary,publish_time
854,电话客服专员8K-20K,深圳市深创联金融服务有限公司武汉...,武汉,0.8-2万/月,11-25
855,信用管理顾问（福利待遇优+地铁口）,深圳市深创联金融服务有限公司武汉...,武汉,0.8-2万/月,11-25
856,催收专员（3500底薪+500全勤+地铁口）,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-25
857,诚聘招联金融业务员,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1.5万/月,11-25
858,银行贷后专员（高底薪+地铁口）,深圳市深创联金融服务有限公司武汉...,武汉,0.8-2万/月,11-25
859,光谷天地电话客服/催收/保底4200/月均9000/周末双休,深圳市鸿泰企业管理有限公司,武汉-洪山区,0.8-1万/月,11-25
860,名企甲方催收/六险一金/双休/月薪资8K,西安四翼网络科技有限公司,西安-雁塔区,6-8千/月,11-24
861,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-24
862,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-24
863,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-24
864,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-24
865,电话催收/月均8k/六险一金+做五休二+低账龄内催,武汉市泰信捷资产管理有限公司,武汉-江夏区,0.8-1万/月,11-24
866,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-24
867,电话催收客服 五险+朝九晚六,深圳通联金融网络科技服务有限公司...,长沙-岳麓区,0.6-1.2万/月,11-23
868,l电话催收专员 月均八千+五险一金+做五休二,武汉东海之光国际旅行社有限公司,武汉-东湖新技...,0.8-1万/月,11-23
869,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,11-23
870,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-22
871,龙华催收专员,志业投资控股（深圳）有限公司,深圳-龙华新区,0.8-1万/月,11-22
872,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-22
873,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-22
874,微粒贷专项业务主管,南杉（深圳）数据软件科技有限公司...,异地招聘,6-8千/月,11-22
875,高薪急招催收主管,南杉（深圳）数据软件科技有限公司...,异地招聘,6-8千/月,11-22
876,电催专员,湖北中亿拓博企业管理咨询有限公司...,武汉-江夏区,0.8-1.5万/月,11-22
877,信用卡催收专员,上海一诺银华服务外包有限公司,哈尔滨-南岗区,6-8千/月,11-22
878,催收员/电话销售/呼叫中心客服,上海一诺银华服务外包有限公司,济南-历下区,0.4-1万/月,11-22
879,信用卡/车贷催收专员,上海一诺银华服务外包有限公司,太原,6-8千/月,11-22
880,催收员/电话销售/呼叫中心客服,上海一诺银华服务外包有限公司,长沙-岳麓区,0.5-1.5万/月,11-22
881,信用卡催收专员（天津）,上海一诺银华服务外包有限公司,天津-和平区,0.6-1万/月,11-22
882,电话催收专员（杭州）,上海一诺银华服务外包有限公司,杭州-西湖区,1-1.5万/月,11-22
883,催收员/电话销售/呼叫中心客服,上海一诺银华服务外包有限公司,南京-秦淮区,1-1.5万/月,11-22
884,信用卡催收专员,上海一诺银华服务外包有限公司,太原,4.5-6千/月,11-22
885,信用卡催收专员,上海一诺银华服务外包有限公司,郑州-管城回族...,0.8-1万/月,11-22
886,催收专员,上海一诺银华服务外包有限公司,长春-南关区,1-1.5万/月,11-22
887,信用卡催收专员,上海一诺银华服务外包有限公司,济南-历下区,6-8千/月,11-22
888,信用卡催收专员,上海一诺银华服务外包有限公司,兰州,6-8千/月,11-22
889,信用卡催收专员,上海一诺银华服务外包有限公司,兰州,6-8千/月,11-22
890,电话催收专员,上海一诺银华服务外包有限公司,呼和浩特,6-8千/月,11-22
891,信用卡催收专员,上海一诺银华服务外包有限公司,长春-南关区,0.8-1万/月,11-22
892,催收专员,上海一诺银华服务外包有限公司,南昌-西湖区,4.5-6千/月,11-22
893,信用卡催收专员,上海一诺银华服务外包有限公司,贵阳,0.8-1万/月,11-22
894,信用卡催收专员,上海一诺银华服务外包有限公司,包头,6-8千/月,11-22
895,外访员,上海一诺银华服务外包有限公司,西安-莲湖区,6-8千/月,11-22
896,信用卡催收专员/电话催收,上海一诺银华服务外包有限公司,上海-静安区,1-1.5万/月,11-22
897,电话客服/催收专员（高额提成）,志业投资控股（深圳）有限公司,深圳-龙华新区,0.7-1.4万/月,11-22
898,电话催收主管,湖北中亿拓博企业管理咨询有限公司...,武汉-洪山区,1.5-2万/月,11-22
899,电话催收专员（m1-m3）+五险一金,武汉市精英网络科技有限公司,武汉-江夏区,6-8千/月,11-22
900,金融港/电话催收专员+五险一金+双休,武汉市精英网络科技有限公司,武汉-江夏区,6-8千/月,11-22
901,电话催收专员 +无责任底薪（五休二）,武汉市精英网络科技有限公司,武汉-江夏区,6-8千/月,11-22
902,清湖+催收专员+五险一金,志业投资控股（深圳）有限公司,深圳-龙华新区,0.7-1万/月,11-22
903,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,11-22
904,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-21
905,正式编制催收专员高薪做五休二,武汉市创鑫泰商务咨询有限公司,长沙-岳麓区,6-8千/月,11-21
906,催收专员+金融港软件园+双休,武汉市精英网络科技有限公司,武汉-洪山区,6-8千/月,11-21
907,催收员/电话销售/呼叫中心客服,武汉市创鑫泰商务咨询有限公司,长沙-岳麓区,6-8千/月,11-21
908,催收专员 +无责任底薪/绩效奖金/业绩提成,武汉市创鑫泰商务咨询有限公司,长沙-岳麓区,6-8千/月,11-21
909,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-21
910,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-21
911,急聘信用卡(信贷)催收,西安融信安商务服务有限公司,西安-莲湖区,0.5-1万/月,11-21
912,急聘电话催收专员（房补+话补+社保+各种福利）,西安融信安商务服务有限公司,西安-莲湖区,0.6-1.2万/月,11-21
913,风控专员,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,1-1.5万/月,11-20
914,逾期账户管理员,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,0.8-1.5万/月,11-20
915,汪家墩呼叫中心客服,湖北中亿拓博企业管理咨询有限公司...,武汉-洪山区,0.8-1.6万/月,11-20
916,中信银行信用卡催收员,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,0.8-1.5万/月,11-20
917,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-20
918,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-20
919,电话催收专员（徐东）,湖北中亿拓博企业管理咨询有限公司...,武汉-洪山区,0.8-1万/月,11-20
920,电话催收专员（急聘）,武汉市创鑫泰商务咨询有限公司,长沙-岳麓区,6-8千/月,11-19
921,资产保全专员,交通银行股份有限公司太平洋信用卡...,重庆-渝中区,6-8千/月,11-19
922,催收组长/催收主管,陕西美安汽车服务有限公司,西安,0.8-1万/月,11-19
923,电话催收专员,深圳通联金融网络科技服务有限公司...,长沙-岳麓区,0.5-1万/月,11-19
924,银行客服催收专员（五险 一金）,深圳通联金融网络科技服务有限公司...,长沙-岳麓区,0.5-1万/月,11-19
925,资产管理专员/五险一金+高额提成,志业投资控股（深圳）有限公司,深圳-龙华新区,0.8-1万/月,11-19
926,交通银行催收专员,交通银行股份有限公司太平洋信用卡...,重庆-渝中区,6-8千/月,11-19
927,金融业务员（双休地铁站）,深圳市世纪鸿程投资有限公司,深圳,0.5-2万/月,11-19
928,资产保全储备管理,交通银行股份有限公司太平洋信用卡...,重庆-渝中区,0.7-1.2万/月,11-18
929,银行电话催收（清湖地铁）,深圳市世纪鸿程投资有限公司,深圳,0.5-2万/月,11-18
930,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,11-18
931,资深账户管理员,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,0.8-1万/月,11-17
932,信用卡催收客服（软件园）,深圳通联金融网络科技服务有限公司...,武汉-洪山区,0.6-1.2万/月,11-17
933,银行催收专员,深圳通联金融网络科技服务有限公司...,武汉-洪山区,4-8千/月,11-17
934,电话催收客服 五险+朝九晚六,深圳通联金融网络科技服务有限公司...,武汉-洪山区,0.5-1万/月,11-17
935,岳家嘴催收专员（M1-M3内催+六险一金+年底双薪）,传众网络科技,武汉-武昌区,0.8-1万/月,11-16
936,岳家嘴催收专员（M1-M3内催+六险一金+年底双薪）,传众网络科技,武汉-武昌区,6-8千/月,11-16
937,岳家嘴催收专员（M1-M3内催+六险一金+年底双薪）,传众网络科技,武汉-武昌区,6-8千/月,11-16
938,岳家嘴催收专员（M1-M3内催+六险一金+年底双薪）,传众网络科技,武汉-武昌区,6-8千/月,11-16
939,岳家嘴电话催收专员（低账龄+无责底薪+六险一金）,传众网络科技,武汉-武昌区,6-8千/月,11-16
940,岳家嘴电话催收客服/无责底薪+六险一金+年终奖,传众网络科技,武汉-武昌区,6-8千/月,11-16
941,岳家嘴电话催收客服,传众网络科技,武汉-武昌区,6-8千/月,11-16
942,岳家嘴风控催收专员（M1-M3内催+六险一金+高提成）,传众网络科技,武汉-武昌区,6-8千/月,11-16
943,武昌催收专员/低账龄+六险一金+年终奖,传众网络科技,武汉-武昌区,6-8千/月,11-16
944,岳家嘴电话催收/无责底薪+六险一金+年终奖,传众网络科技,武汉-武昌区,0.8-1万/月,11-16
945,交行卡中心资产保全专员-重庆,交通银行股份有限公司太平洋信用卡...,重庆-渝中区,6-8千/月,11-15
946,电话销售,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,0.8-1万/月,11-14
947,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-14
948,中信银行信用卡账单催收客服+住宿+社保齐全,深圳通联金融网络科技服务有限公司...,合肥-滨湖新区,4-8千/月,11-12
949,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,11-11
950,电话催收/五险一金/双休高提成,武汉市优信捷信息科技有限公司,武汉-洪山区,0.8-1万/月,11-10
951,M1-M3催收/周末双休/月均8K,武汉市优信捷信息科技有限公司,武汉-洪山区,6-8千/月,11-10
952,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,11-10
953,信用卡催收（不带销售性质）,武汉众汇信资产管理有限公司,武汉,6-8千/月,11-08
954,资产管理主管,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,1.2-2万/月,11-07
955,账户管理员,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,0.8-1.5万/月,11-07
956,呼叫中心客服,湖北中亿拓博企业管理咨询有限公司...,武汉-洪山区,0.8-1.3万/月,11-07
957,销售代表（薪资8000-15000）,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,0.8-1.5万/月,11-07
958,催收专员（五险一金）,深圳通联金融网络科技服务有限公司...,深圳-南山区,0.5-1.1万/月,11-06
959,银行信用卡客服,深圳通联金融网络科技服务有限公司...,深圳-南山区,0.6-1.5万/月,11-06
960,万达催收团队经理（8K-1.2W）,广州欢创劳务派遣有限公司,广州-越秀区,0.8-1万/月,11-06
961,催收专员（无责底薪+双休+月度排名奖）,武汉信樾企业管理咨询有限公司,武汉-洪山区,0.6-1万/月,11-05
962,信用卡风控客服,CBC（北京）信用管理有限公司青岛...,青岛-市南区,6-8千/月,11-03
963,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,11-03
964,高薪信贷催收6k+双休/六险二金,广州谷创信息科技有限公司,西安-雁塔区,4-8千/月,10-29
965,信贷逾期电话催收+周末双休+六险,广州谷创信息科技有限公司,西安-雁塔区,6-8千/月,10-29
966,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,10-27
967,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,10-23
968,电催专员/内催,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-22
969,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,10-22
970,信用卡催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-16
971,浑南交行信用卡M2催收,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-16
972,招商银行双休电话客服保底六千+文员+销售,雅诚金服,武汉-江夏区,6-8千/月,10-11
973,风控催收专员（金融上市公司+双休福利全）,武汉鑫丹鸿博科技有限公司,武汉-江夏区,0.6-1万/月,10-09
974,交行信用卡催收8K,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
975,信用卡催收/8K,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
976,电话催收/信用卡/M2,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
977,交行信用卡M2催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
978,交行催收M2,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
