,title,company,place,salary,publish_time
221,机器学习/数据挖掘工程师,北京恒通博联科技有限公司,北京-海淀区,1.5-2万/月,03-20
222,消费者数据挖掘经理,健合集团——广州总部,广州-天河区,2-3万/月,03-20
223,数据挖掘和算法工程师,浙江至元数据科技有限公司,杭州-西湖区,1.5-2万/月,03-20
224,数据挖掘工程师,广东三头六臂信息科技有限公司,广州-白云区,1.2-1.8万/月,03-20
225,数据挖掘工程师,上海零点市场调查有限公司,上海,0.8-1.1万/月,03-20
226,数据挖掘分析岗,中信银行股份有限公司信用卡中心,深圳,,03-20
227,数据挖掘工程师（中国电信政务软件基地）,杭州天翼智慧城市科技有限公司,杭州,10-20万/年,03-20
228,数据挖掘/建模工程师,杭州布诗品牌科技有限公司,杭州-江干区,1-1.5万/月,03-19
229,大数据挖掘与分析研究员,之江实验室,杭州,,03-19
230,通信数据挖掘和分析工程师（广州）,湖南华诺科技有限公司,广州,,03-19
231,大数据挖掘岗,中国民生银行股份有限公司信用卡中...,北京,,03-19
232,数据分析师（数据挖掘工程师）(研发中心),四川久远银海软件股份有限公司,成都-锦江区,0.8-1.4万/月,03-18
233,数据挖掘/机器学习/人工智能/算法方向研究人员,大连东软教育科技集团有限公司,大连,,03-18
234,数据挖掘工程师,优车库网络科技发展（深圳）有限公...,深圳,,03-18
235,数据挖掘,深圳桑椹电子商务有限公司,深圳-龙华新区,1-1.5万/月,03-17
236,数据挖掘工程师,信雅达（杭州）计算机服务有限公司...,南京-建邺区,1-1.5万/月,03-17
237,数据挖掘、机器学习（推荐引擎方向）工程师,杭州摸象大数据科技有限公司,杭州-余杭区,2-4万/月,03-17
238,数据挖掘工程师,无锡微爱录软件技术有限责任公司,无锡,0.9-1.2万/月,03-17
239,数据挖掘分析岗,中国大地财产保险股份有限公司,上海,,03-17
240,数据挖掘工程师,吉贝克信息技术（北京）有限公司,北京,,03-17
241,数据挖掘师,深圳市利朗达科技有限公司,深圳,0.8-1.6万/月,03-17
242,数据挖掘工程师,科大讯飞股份有限公司,合肥-高新区,1-1.5万/月,03-16
243,高级数据挖掘工程师,亚信科技CMC,成都-高新区,1.2-2万/月,03-16
244,数据挖掘工程师,亚信科技OBC,合肥,1-1.5万/月,03-16
245,数据挖掘专家,电信事业部,北京-朝阳区,2.5-5万/月,03-16
246,数据挖掘算法工程师,三一集团人力资源总部,北京-昌平区,4-6万/月,03-15
247,数据挖掘工程师-NLP,信必优(深圳)信息技术有限公司,深圳-南山区,1.5-2万/月,03-14
248,数据挖掘（01）,上海复深蓝软件股份有限公司,上海-静安区,1.5-2.5万/月,03-14
249,AI或数据挖掘岗,卓望信息技术（北京）有限公司,北京,,03-14
